job_id,target,target_column,horizon_windows,family,candidate_id,fold,status,failure,full_training_rows,sampled_training_rows,sampled_training_timestamps,validation_rows,training_origin_start,training_origin_end,maximum_training_target_timestamp,validation_origin_start,validation_origin_end,rows,rmse,mae,mape_percent,r_squared,mape_nonzero_rows,mape_zero_actual_rows,fit_seconds,prediction_seconds
volume_h2,volume,target_volume_h2,2,xgboost,xgb_balanced,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:30:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,86.5379417982,59.8744640823,15.3649728943,0.9025191854,8400,0,0.042036,0.0202
volume_h2,volume,target_volume_h2,2,xgboost,xgb_balanced,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:30:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,92.2891086578,63.9767365319,15.1709191663,0.8966576938,8400,0,0.040088,0.020346
volume_h2,volume,target_volume_h2,2,xgboost,xgb_balanced,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:30:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,85.5437331682,63.3383302561,21.2300261,0.8802842558,8400,0,0.039023,0.020651
volume_h2,volume,target_volume_h2,2,xgboost,xgb_balanced,5,success,,118350,2400,96,8350,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:30:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T15:30:00+05:30,8350,118.843005575,75.6795004382,18.9599241287,0.8365308239,8350,0,0.037307,0.02031
volume_h2,volume,target_volume_h2,2,xgboost,xgb_deep,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:30:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,93.7778794229,66.1558830561,22.9877992447,0.8915220974,8400,0,0.054563,0.021713
volume_h2,volume,target_volume_h2,2,xgboost,xgb_deep,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:30:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,80.2278094315,55.9161825253,14.4616147898,0.9162170024,8400,0,0.058083,0.021818
volume_h2,volume,target_volume_h2,2,xgboost,xgb_deep,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:30:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,91.2262169863,62.497373947,14.8870271229,0.8990243687,8400,0,0.059218,0.020508
volume_h2,volume,target_volume_h2,2,xgboost,xgb_deep,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:30:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,85.3379175495,62.7256877581,20.8479397806,0.8808596276,8400,0,0.062888,0.020255
volume_h2,volume,target_volume_h2,2,xgboost,xgb_deep,5,success,,118350,2400,96,8350,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:30:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T15:30:00+05:30,8350,121.198618849,76.7077119418,19.3683118396,0.8299862833,8350,0,0.061067,0.022868
volume_h3,volume,target_volume_h3,3,linear_regression,linear_default,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T16:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,130.828300557,100.343345974,36.0725132173,0.7884095625,8400,0,0.029652,0.019729
volume_h3,volume,target_volume_h3,3,linear_regression,linear_default,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T16:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,119.001164014,90.5552835333,27.0757150704,0.8160368534,8400,0,0.030562,0.018956
volume_h3,volume,target_volume_h3,3,linear_regression,linear_default,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T16:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,129.297471043,101.865469266,30.4204501078,0.7970596753,8400,0,0.030078,0.018932
