task_type,model_version,target,horizon_windows,horizon_minutes,split,dimension,slice_value,rows,positive_rows,sufficient_support,rmse,mae,mape_percent,r_squared,bias,residual_standard_deviation,residual_q10,residual_median,residual_q90,interval_coverage,mean_interval_width,task,accuracy,precision,recall,f1,roc_auc,pr_auc,prevalence,mean_confidence,mean_normalized_entropy,macro_precision,macro_recall,macro_f1
regression,classical_regression_v1,speed,1,30,test,origin_hour,11,1150,,True,3.2036083829,2.5414549348,5.7804849832,0.4971572919,-0.313154907451,3.18826609227,-4.5091709553,-0.316670543556,3.79775509428,0.93652173913,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,12,1150,,True,3.2014290219,2.5250695485,5.7150524596,0.4841840739,0.081190675045,3.20039932768,-3.85868832698,0.0132512809012,4.1257070796,0.933913043478,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,13,1150,,True,3.1737908343,2.5015703459,5.7239631415,0.475512926,0.201777849779,3.16737019607,-3.74803824351,0.240718161614,4.0069442728,0.940869565217,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,14,1150,,True,3.1543091062,2.4570302717,5.8782889556,0.5846139406,-0.0087829361354,3.15429687848,-3.96091941566,-0.0777575288352,3.90747501593,0.939130434783,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,15,1150,,True,4.0184381326,3.0821763958,8.8910740431,0.6300337057,-0.0862548304034,4.01751230611,-4.75640578794,-0.175401760545,4.77050822636,0.873913043478,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,16,1150,,True,5.2418020363,3.9915919575,16.854746679,0.6681663625,0.138555510884,5.23997051119,-5.87573209636,0.104651846452,6.54591967003,0.77652173913,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,17,1150,,True,5.3306223332,4.1706143876,21.8859190349,0.699795787,0.125648922552,5.3291412824,-6.27224069605,0.0730968544773,6.787059741,0.746956521739,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,18,1150,,True,4.9911726489,3.8759711188,16.4741810386,0.6892811781,-0.143977330779,4.98909560332,-6.26824646796,-0.0986374888133,5.85609907858,0.781739130435,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,19,1150,,True,3.800032171,2.9184165454,7.7976025487,0.6474479604,-0.100887970596,3.79869268541,-4.70681871674,-0.169696819387,4.62595427851,0.88347826087,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,20,1150,,True,2.974277696,2.366769804,5.0267868921,0.4723425808,0.138963249623,2.97102962424,-3.57458919791,0.187530725957,4.07642016007,0.950434782609,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,21,1150,,True,2.7089762361,2.1404219969,4.1533615761,0.198986416,-0.311750958508,2.69097818416,-3.78482190376,-0.274823497458,3.07915165332,0.96,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,22,1150,,True,2.7149605765,2.1384119605,4.1101122992,0.060212124,0.00345681566135,2.71495837585,-3.56583834245,0.129212840213,3.18722805086,0.968695652174,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,origin_hour,23,1125,,True,2.8310554664,2.256824612,4.2879883977,0.0736835449,-0.390029840057,2.80405987408,-4.04049163578,-0.377500040956,3.09997385293,0.960888888889,11.7229842228,,,,,,,,,,,,,
