horizon_windows,horizon_minutes,split,dimension,slice_value,rows,sufficient_support,deep_rmse,classical_rmse,rmse_delta_deep_minus_classical,deep_mae,classical_mae,mean_absolute_error_delta,deep_row_win_rate
2,60,test,origin_hour,15,1100,True,81.8789786147,84.632059323,-2.7530807083,61.3006677204,62.770256237,-1.46958851658,0.511818181818
2,60,test,origin_hour,16,1100,True,96.8355161695,100.254905544,-3.4193893742,73.7469254289,74.8957856556,-1.14886022672,0.495454545455
2,60,test,origin_hour,17,1100,True,91.921544402,94.0886556244,-2.1671112224,71.7145933222,72.5426780565,-0.828084734359,0.513636363636
2,60,test,origin_hour,18,1100,True,82.6000944421,87.0714344636,-4.4713400215,61.4618349089,64.5287157559,-3.06688084695,0.526363636364
2,60,test,origin_hour,19,1100,True,51.1727721988,55.9875497082,-4.8147775094,38.7233523163,42.6442096648,-3.92085734853,0.569090909091
2,60,test,origin_hour,20,1150,True,34.5450963167,36.2301354184,-1.6850391017,25.6765636485,27.1806002495,-1.50403660096,0.514782608696
2,60,test,origin_hour,21,1150,True,25.8102343938,25.2675956129,0.5426387809,19.6189501239,18.8090710058,0.809879118091,0.46347826087
2,60,test,origin_hour,22,1100,True,21.8969385112,20.905890654,0.9910478572,16.7357254153,15.7485047023,0.987220712995,0.452727272727
2,60,test,origin_hour,23,1100,True,38.4106344223,29.7820045819,8.6286298404,29.1417468353,22.3067899164,6.83495691897,0.348181818182
2,60,test,weekday,Friday,3800,True,62.0599865438,62.4005783675,-0.3405918237,42.9109139259,42.7431838964,0.16773002949,0.483684210526
2,60,test,weekday,Monday,3600,True,73.144870986,75.0116666751,-1.8667956891,48.3407094974,48.5773415751,-0.236632077703,0.482222222222
2,60,test,weekday,Saturday,4700,True,51.0424535344,53.9366269728,-2.8941734384,34.2933178534,35.9364530667,-1.64313521332,0.515957446809
2,60,test,weekday,Sunday,3600,True,45.553612034,46.3130504047,-0.7594383707,31.4262885752,31.3619506554,0.0643379197804,0.4725
2,60,test,weekday,Thursday,3600,True,70.4011444541,75.4062635768,-5.0051191227,48.5601649695,50.6832511255,-2.12308615599,0.495
2,60,test,weekday,Tuesday,3600,True,60.0077713438,61.1051099897,-1.0973386459,41.4323430673,41.8396493921,-0.407306324827,0.4925
